         472639 function calls (450277 primitive calls) in 1.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 sys_path.py:1(<module>)
        1    0.000    0.000    0.007    0.007 keywords.py:1(<module>)
     2493    0.004    0.000    0.007    0.000 {built-in method builtins.max}
25511/24816    0.007    0.000    0.007    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.007    0.007 typing.py:1(<module>)
        1    0.000    0.000    0.007    0.007 wcwidth.py:1(<module>)
       61    0.001    0.000    0.007    0.000 typing.py:679(Union)
      127    0.007    0.000    0.007    0.000 {built-in method builtins.compile}
        2    0.000    0.000    0.007    0.003 completion.py:1(<module>)
      516    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:71(__init__)
       36    0.000    0.000    0.006    0.000 magic_arguments.py:260(add_to_parser)
        1    0.000    0.000    0.006    0.006 script.py:1(<module>)
        2    0.000    0.000    0.006    0.003 _layout.py:3771(template)
      160    0.000    0.000    0.006    0.000 basedatatypes.py:91(_split_and_chomp)
        1    0.000    0.000    0.006    0.006 guarded_eval.py:1(<module>)
       36    0.001    0.000    0.006    0.000 argparse.py:1424(add_argument)
     4048    0.005    0.000    0.006    0.000 _parser.py:168(__getitem__)
       89    0.001    0.000    0.006    0.000 traitlets.py:941(__new__)
      119    0.000    0.000    0.006    0.000 typing.py:1595(copy_with)
        1    0.000    0.000    0.006    0.006 history.py:475(HistoryManager)
      506    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        1    0.000    0.000    0.006    0.006 script.py:69(ScriptMagics)
       35    0.000    0.000    0.006    0.000 argparse.py:655(_split_lines)
      248    0.003    0.000    0.006    0.000 enum.py:242(__set_name__)
      431    0.003    0.000    0.006    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.006    0.006 minidom.py:1(<module>)
      340    0.001    0.000    0.006    0.000 auxiliary_methods.py:20(intersect)
        4    0.000    0.000    0.006    0.001 _title.py:431(__init__)
        1    0.000    0.000    0.006    0.006 loader.py:1(<module>)
        1    0.000    0.000    0.006    0.006 PyColorize.py:1(<module>)
        2    0.000    0.000    0.006    0.003 basevalidators.py:2542(validate_coerce)
      576    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      303    0.002    0.000    0.006    0.000 typing_extensions.py:3029(_collect_parameters)
        1    0.000    0.000    0.005    0.005 iterable.py:1(<module>)
        2    0.000    0.000    0.005    0.003 _templates.py:64(__getitem__)
       35    0.000    0.000    0.005    0.000 textwrap.py:373(wrap)
        1    0.000    0.000    0.005    0.005 inputtransformer2.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _html.py:1(<module>)
     1762    0.003    0.000    0.005    0.000 typing.py:1320(__setattr__)
      103    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
       67    0.000    0.000    0.005    0.000 <string>:2(__init__)
       47    0.000    0.000    0.005    0.000 argparse.py:2597(_get_formatter)
       67    0.000    0.000    0.005    0.000 __init__.py:56(__post_init__)
      585    0.003    0.000    0.005    0.000 auxiliary_methods.py:5(rectIntersect)
    21423    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 annotation.py:1(<module>)
       35    0.000    0.000    0.005    0.000 textwrap.py:347(wrap)
       25    0.002    0.000    0.005    0.000 __init__.py:350(namedtuple)
      209    0.004    0.000    0.005    0.000 _compiler.py:243(_optimize_charset)
       66    0.000    0.000    0.005    0.000 filters.py:317(filter_from_string)
       47    0.001    0.000    0.005    0.000 argparse.py:164(__init__)
      156    0.000    0.000    0.005    0.000 <frozen abc>:105(__new__)
  320/160    0.001    0.000    0.005    0.000 utils.py:379(chomp_empty_strings)
      172    0.002    0.000    0.005    0.000 <frozen ntpath>:107(join)
        4    0.000    0.000    0.005    0.001 tokenize.py:101(_compile)
        2    0.000    0.000    0.005    0.002 basedatatypes.py:2786(_dispatch_layout_change_callbacks)
      335    0.002    0.000    0.005    0.000 enum.py:367(__setitem__)
        1    0.000    0.000    0.005    0.005 handlers.py:1(<module>)
    14492    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.005    0.005 path.py:1(<module>)
  414/406    0.001    0.000    0.005    0.000 basedatatypes.py:4486(_init_props)
        1    0.000    0.000    0.005    0.005 formatter.py:1(<module>)
       20    0.000    0.000    0.005    0.000 basedatatypes.py:2249(<listcomp>)
        1    0.000    0.000    0.004    0.004 __init__.py:143(__getattr__)
        4    0.000    0.000    0.004    0.001 <decorator-gen-6>:1(only_when_enabled)
        1    0.000    0.000    0.004    0.004 __init__.py:36(_load_formatters)
        1    0.000    0.000    0.004    0.004 osm.py:1(<module>)
        2    0.000    0.000    0.004    0.002 style.py:1(<module>)
       40    0.000    0.000    0.004    0.000 basevalidators.py:1375(validate_coerce)
        2    0.000    0.000    0.004    0.002 util.py:1(<module>)
        1    0.000    0.000    0.004    0.004 fractions.py:1(<module>)
  740/220    0.004    0.000    0.004    0.000 _parser.py:178(getwidth)
     5082    0.004    0.000    0.004    0.000 _parser.py:240(__next)
     3598    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       40    0.000    0.000    0.004    0.000 basevalidators.py:1437(vc_scalar)
        1    0.000    0.000    0.004    0.004 page_navigation.py:1(<module>)
        1    0.000    0.000    0.004    0.004 docstrings.py:1(<module>)
        1    0.000    0.000    0.004    0.004 history.py:130(HistoryAccessor)
        1    0.000    0.000    0.004    0.004 executing.py:1(<module>)
   414/66    0.001    0.000    0.004    0.000 filters.py:286(eval_node)
       40    0.000    0.000    0.004    0.000 basevalidators.py:1443(perform_validate_coerce)
